trial,first_tested_utc,strategy,version,tf,origin
1,2026-09-24 20:19,trend_pullback,1.0,15m,before the counter (strategy_registry.csv)
2,2026-09-24 20:19,trend_pullback,1.0,1h,before the counter (strategy_registry.csv)
3,2026-09-24 20:19,trend_pullback,1.0,30m,before the counter (strategy_registry.csv)
4,2026-09-24 20:19,trend_pullback,1.0,4h,before the counter (strategy_registry.csv)
5,2026-09-24 20:19,donchian_breakout,1.0,1h,before the counter (strategy_registry.csv)
6,2026-09-24 20:19,donchian_breakout,1.0,30m,before the counter (strategy_registry.csv)
7,2026-09-24 20:19,donchian_breakout,1.0,4h,before the counter (strategy_registry.csv)
8,2026-09-24 20:19,rsi2_dip_buy,1.0,15m,before the counter (strategy_registry.csv)
9,2026-09-24 20:19,rsi2_dip_buy,1.0,1h,before the counter (strategy_registry.csv)
10,2026-09-24 20:19,rsi2_dip_buy,1.0,30m,before the counter (strategy_registry.csv)
11,2026-09-24 20:19,rsi2_dip_buy,1.0,4h,before the counter (strategy_registry.csv)
12,2026-09-24 20:19,bb_squeeze_breakout,1.0,15m,before the counter (strategy_registry.csv)
13,2026-09-24 20:19,bb_squeeze_breakout,1.0,1h,before the counter (strategy_registry.csv)
14,2026-09-24 20:19,bb_squeeze_breakout,1.0,30m,before the counter (strategy_registry.csv)
15,2026-09-24 20:19,bb_squeeze_breakout,1.0,4h,before the counter (strategy_registry.csv)
16,2026-09-24 20:19,macd_trend_cross,1.0,1h,before the counter (strategy_registry.csv)
17,2026-09-24 20:19,macd_trend_cross,1.0,30m,before the counter (strategy_registry.csv)
18,2026-09-24 20:19,macd_trend_cross,1.0,4h,before the counter (strategy_registry.csv)
19,2026-09-24 20:19,supertrend_flip,1.0,1h,before the counter (strategy_registry.csv)
20,2026-09-24 20:19,supertrend_flip,1.0,30m,before the counter (strategy_registry.csv)
21,2026-09-24 20:19,supertrend_flip,1.0,4h,before the counter (strategy_registry.csv)
22,2026-09-24 20:19,liquidity_sweep_reversal,1.0,15m,before the counter (strategy_registry.csv)
23,2026-09-24 20:19,liquidity_sweep_reversal,1.0,1h,before the counter (strategy_registry.csv)
24,2026-09-24 20:19,liquidity_sweep_reversal,1.0,30m,before the counter (strategy_registry.csv)
25,2026-09-24 20:19,liquidity_sweep_reversal,1.0,5m,before the counter (strategy_registry.csv)
26,2026-09-24 20:19,ema_9_21_cross,1.0,15m,before the counter (strategy_registry.csv)
27,2026-09-24 20:19,ema_9_21_cross,1.0,1h,before the counter (strategy_registry.csv)
28,2026-09-24 20:19,ema_9_21_cross,1.0,30m,before the counter (strategy_registry.csv)
29,2026-09-24 20:19,ema_9_21_cross,1.0,5m,before the counter (strategy_registry.csv)
30,2026-09-24 20:19,S5-SWEEP-MSS-FVG,1.0,15m,before the counter (strategy_registry.csv)
31,2026-09-24 20:19,S5-SWEEP-MSS-FVG,1.0,30m,before the counter (strategy_registry.csv)
32,2026-09-24 20:19,S5-SWEEP-MSS-FVG-noSMC,1.0,15m,before the counter (strategy_registry.csv)
33,2026-09-24 20:19,S5-SWEEP-MSS-FVG-noSMC,1.0,30m,before the counter (strategy_registry.csv)
34,2026-09-24 20:19,S6-OB-FVG,1.0,15m,before the counter (strategy_registry.csv)
35,2026-09-24 20:19,S6-OB-FVG-noSMC,1.0,15m,before the counter (strategy_registry.csv)
36,2026-09-24 20:19,S7-SILVER-BULLET,1.0,15m,before the counter (strategy_registry.csv)
37,2026-09-24 20:19,S7-SILVER-BULLET-noSMC,1.0,15m,before the counter (strategy_registry.csv)
38,2026-09-24 20:19,S8-PDH-PDL-SWEEP,1.0,1h,before the counter (strategy_registry.csv)
39,2026-09-24 20:19,S8-PDH-PDL-SWEEP,1.0,30m,before the counter (strategy_registry.csv)
40,2026-09-24 20:19,S8-PDH-PDL-SWEEP-noSMC,1.0,1h,before the counter (strategy_registry.csv)
41,2026-09-24 20:19,S8-PDH-PDL-SWEEP-noSMC,1.0,30m,before the counter (strategy_registry.csv)
42,2026-09-25 00:49,S5-SWEEP-MSS-FVG-5M,1.0,15m,before the counter (strategy_registry.csv)
43,2026-09-25 00:49,S5-SWEEP-MSS-FVG-5M,1.0,30m,before the counter (strategy_registry.csv)
44,2026-09-25 00:49,S6-OB-FVG-5M,1.0,15m,before the counter (strategy_registry.csv)
45,2026-09-25 00:49,S7-SILVER-BULLET-5M,1.0,15m,before the counter (strategy_registry.csv)
46,2026-09-25 00:49,S8-PDH-PDL-SWEEP-5M,1.0,30m,before the counter (strategy_registry.csv)
