strategy,version,family,gate,tf,status,lab,status_since,researched,history_from,trades,win_rate,avg_r,profit_factor,max_dd_r,develop_avg_r,validate_avg_r,long_avg_r,short_avg_r,walk_forward,walk_forward_passed,stress_avg_r,perturb_stable,perturb_worst,positive_coins,median_cost_r,overfit,required_avg_r,beats_twin,layer_a_trades,layer_a_avg_r,layer_a_first_avg_r,layer_a_last_avg_r,signal_candles,blocked_by_regime,blocked_by_permission,skipped_stop,skipped_target,confirm_5m,skipped_5m_expired,skipped_5m_invalidated,live_signals,live_avg_r,twin_of,control_twin,note,attribution,why_not,twin_avg_r,twin_validate_avg_r
S7-SILVER-BULLET,1.0,smc,trend,15m,BACKTESTING,False,2026-09-24 20:19,True,2025-12-15,5,60.0,1.221,3.69,2.3,0.973,2.214,2.214,0.973,0/5,False,1.098,True,sweep_bars 8→10: +0.81R,0,0.185,74% of the profit from ENA; 72% of the profit from window 4,0.1,,0,0.0,0.0,0.0,40,25,14,0,1,False,0,0,0,,,S7-SILVER-BULLET-noSMC,,"{'losses': 2, 'wins': 3, 'systematic': [], 'frequent': [('sweep_continued', 1.0), ('range_market', 0.5), ('regime_mismatch', 0.5), ('volatility_spike', 0.5)], 'mae_mfe': {'winners_mae_median': -0.41, 'winners_mae_p90': -0.67, 'losers_mfe_median': 0.58, 'losers_mfe_p75': 0.63}, 'gross_avg_r': 1.439, 'avg_r': 1.221, 'strategy_level': [], 'diagnosis': ['Sample too small: only 5 trades - no conclusion yet.', 'Timing / exits: half the losers were at least +0.58R in profit first - exits or targets are worth testing.', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → +1.28R; stop max_width_atr 3.0→2.4 → +1.22R; stop buffer_atr 0.2→0.24 → +1.17R; stop max_width_atr 3.0→3.6 → +1.22R.', 'Costs: +1.44R per trade before fees and slippage, +1.22R after.', 'Systematic causes: none stands out - with this sample the losses look random.']}",only 5 trades; only 1 unseen-test trades,0.338,0.561
S7-SILVER-BULLET-noSMC,1.0,smc,trend,15m,BACKTESTING,False,2026-09-24 20:19,True,2025-10-18,15,46.7,0.338,1.46,4.1,0.227,0.561,0.182,0.442,0/5,False,0.029,False,sweep_bars 8→10: -0.00R,0,0.314,71% of the profit from ENA; 89% of the profit from window 4,0.1,,2,0.307,1.937,-1.323,83,48,28,3,2,False,0,0,0,,S7-SILVER-BULLET,,,"{'losses': 8, 'wins': 7, 'systematic': [], 'frequent': [('sweep_continued', 1.0), ('wrong_session', 0.75), ('range_market', 0.5), ('regime_mismatch', 0.375)], 'mae_mfe': {'winners_mae_median': -0.41, 'winners_mae_p90': -0.63, 'losers_mfe_median': 0.49, 'losers_mfe_p75': 0.61}, 'gross_avg_r': 0.785, 'avg_r': 0.338, 'strategy_level': [], 'diagnosis': ['Sample too small: only 15 trades - no conclusion yet.', 'Timing: losers rarely went our way (median best point +0.49R).', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → +0.27R; stop max_width_atr 3.0→2.4 → +0.34R; stop buffer_atr 0.2→0.24 → +0.21R; stop max_width_atr 3.0→3.6 → +0.34R.', 'Costs: +0.79R per trade before fees and slippage, +0.34R after.', 'Systematic causes: none stands out - with this sample the losses look random.']}",not cost-viable: fees + slippage 0.31R per trade (stop must be ≥ 4x the round-trip cost); only 15 trades; only 5 unseen-test trades,,
S5-SWEEP-MSS-FVG,1.0,smc,trend,15m,BACKTESTING,False,2026-09-24 20:19,True,2025-11-12,6,50.0,0.206,1.21,3.3,0.511,-1.323,-1.323,0.511,0/5,False,0.076,False,sweep_bars 20→24: -0.16R,0,0.255,100% of the profit from ENA; 69% of the profit from window 1,0.1,,1,-1.323,0.0,-1.323,59,40,13,5,0,False,0,0,0,,,S5-SWEEP-MSS-FVG-noSMC,,"{'losses': 3, 'wins': 3, 'systematic': [], 'frequent': [('sweep_continued', 1.0), ('wrong_session', 0.667), ('stop_too_tight', 0.333)], 'mae_mfe': {'winners_mae_median': -0.36, 'winners_mae_p90': -0.48, 'losers_mfe_median': 1.11, 'losers_mfe_p75': 1.84}, 'gross_avg_r': 0.91, 'avg_r': 0.206, 'strategy_level': [], 'diagnosis': ['Sample too small: only 6 trades - no conclusion yet.', 'Timing / exits: half the losers were at least +1.11R in profit first - exits or targets are worth testing.', 'Stop / target: stopped out and then TP1 reached anyway in 33% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → -0.14R; stop max_width_atr 3.0→2.4 → +0.21R; stop buffer_atr 0.2→0.24 → +0.27R; stop max_width_atr 3.0→3.6 → +0.21R.', 'Costs: +0.91R per trade before fees and slippage, +0.21R after.', 'Systematic causes: none stands out - with this sample the losses look random.']}",not cost-viable: fees + slippage 0.26R per trade (stop must be ≥ 4x the round-trip cost); only 6 trades; only 1 unseen-test trades; not profitable in BOTH train and unseen test,-0.365,0.049
S6-OB-FVG,1.0,smc,trend,15m,BACKTESTING,False,2026-09-24 20:19,True,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/5,False,0.0,False,stop max_width_atr 3.0→3.6: -1.14R,0,,,0.1,,0,0.0,0.0,0.0,4,1,3,0,0,False,0,0,0,,,S6-OB-FVG-noSMC,,"{'losses': 0, 'wins': 0, 'systematic': [], 'frequent': [], 'mae_mfe': {'winners_mae_median': None, 'winners_mae_p90': None, 'losers_mfe_median': None, 'losers_mfe_p75': None}, 'gross_avg_r': None, 'avg_r': None, 'strategy_level': [], 'diagnosis': ['Sample too small: only 0 trades - no conclusion yet.', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → +0.00R; stop max_width_atr 3.0→2.4 → +0.00R; stop buffer_atr 0.2→0.24 → +0.00R; stop max_width_atr 3.0→3.6 → -1.14R.', 'Systematic causes: none stands out - with this sample the losses look random.']}",only 0 trades; avg +0.00R/trade (needs +0.10R); profit factor 0.00; only 0 unseen-test trades; not profitable in BOTH train and unseen test,-0.064,-0.39
S5-SWEEP-MSS-FVG-5M,1.0,smc,trend,30m,BACKTESTING,False,2026-09-25 00:49,True,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/5,False,0.0,False,sweep_bars 20→16: +0.00R,0,,,0.1,,0,0.0,0.0,0.0,73,56,14,2,0,True,0,0,0,,,S5-SWEEP-MSS-FVG,,"{'losses': 0, 'wins': 0, 'systematic': [], 'frequent': [], 'mae_mfe': {'winners_mae_median': None, 'winners_mae_p90': None, 'losers_mfe_median': None, 'losers_mfe_p75': None}, 'gross_avg_r': None, 'avg_r': None, 'strategy_level': [], 'diagnosis': ['Sample too small: only 0 trades - no conclusion yet.', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → +0.00R; stop max_width_atr 3.0→2.4 → +0.00R; stop buffer_atr 0.2→0.24 → +0.00R; stop max_width_atr 3.0→3.6 → +0.00R.', 'Systematic causes: none stands out - with this sample the losses look random.']}",only 0 trades; avg +0.00R/trade (needs +0.10R); profit factor 0.00; only 0 unseen-test trades; not profitable in BOTH train and unseen test,0.0,0.0
S5-SWEEP-MSS-FVG-5M,1.0,smc,trend,15m,BACKTESTING,False,2026-09-25 00:49,True,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/5,False,0.0,False,sweep_bars 20→16: +0.00R,0,,,0.1,,0,0.0,0.0,0.0,59,40,13,5,0,True,1,0,0,,,S5-SWEEP-MSS-FVG,,"{'losses': 0, 'wins': 0, 'systematic': [], 'frequent': [], 'mae_mfe': {'winners_mae_median': None, 'winners_mae_p90': None, 'losers_mfe_median': None, 'losers_mfe_p75': None}, 'gross_avg_r': None, 'avg_r': None, 'strategy_level': [], 'diagnosis': ['Sample too small: only 0 trades - no conclusion yet.', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → +0.00R; stop max_width_atr 3.0→2.4 → +0.00R; stop buffer_atr 0.2→0.24 → +0.00R; stop max_width_atr 3.0→3.6 → +0.00R.', 'Systematic causes: none stands out - with this sample the losses look random.']}",only 0 trades; avg +0.00R/trade (needs +0.10R); profit factor 0.00; only 0 unseen-test trades; not profitable in BOTH train and unseen test,-1.323,-1.323
S6-OB-FVG-5M,1.0,smc,trend,15m,BACKTESTING,False,2026-09-25 00:49,True,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/5,False,0.0,False,ob_bars 20→16: +0.00R,0,,,0.1,,0,0.0,0.0,0.0,4,1,3,0,0,True,0,0,0,,,S6-OB-FVG,,"{'losses': 0, 'wins': 0, 'systematic': [], 'frequent': [], 'mae_mfe': {'winners_mae_median': None, 'winners_mae_p90': None, 'losers_mfe_median': None, 'losers_mfe_p75': None}, 'gross_avg_r': None, 'avg_r': None, 'strategy_level': [], 'diagnosis': ['Sample too small: only 0 trades - no conclusion yet.', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → +0.00R; stop max_width_atr 3.0→2.4 → +0.00R; stop buffer_atr 0.2→0.24 → +0.00R; stop max_width_atr 3.0→3.6 → +0.00R.', 'Systematic causes: none stands out - with this sample the losses look random.']}",only 0 trades; avg +0.00R/trade (needs +0.10R); profit factor 0.00; only 0 unseen-test trades; not profitable in BOTH train and unseen test,0.0,0.0
S7-SILVER-BULLET-5M,1.0,smc,trend,15m,BACKTESTING,False,2026-09-25 00:49,True,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/5,False,0.0,False,sweep_bars 8→6: +0.00R,0,,,0.1,,0,0.0,0.0,0.0,40,25,14,0,1,True,0,0,0,,,S7-SILVER-BULLET,,"{'losses': 0, 'wins': 0, 'systematic': [], 'frequent': [], 'mae_mfe': {'winners_mae_median': None, 'winners_mae_p90': None, 'losers_mfe_median': None, 'losers_mfe_p75': None}, 'gross_avg_r': None, 'avg_r': None, 'strategy_level': [], 'diagnosis': ['Sample too small: only 0 trades - no conclusion yet.', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → +0.00R; stop max_width_atr 3.0→2.4 → +0.00R; stop buffer_atr 0.2→0.24 → +0.00R; stop max_width_atr 3.0→3.6 → +0.00R.', 'Systematic causes: none stands out - with this sample the losses look random.']}",only 0 trades; avg +0.00R/trade (needs +0.10R); profit factor 0.00; only 0 unseen-test trades; not profitable in BOTH train and unseen test,2.214,0.0
S5-SWEEP-MSS-FVG-noSMC,1.0,smc,trend,30m,BACKTESTING,False,2026-09-24 20:19,True,2024-10-30,13,23.1,-0.353,0.44,5.1,-0.511,-0.101,-1.174,-0.107,0/5,False,-0.468,False,stop buffer_atr 0.2→0.24: -0.36R,0,0.086,,0.1,,0,0.0,0.0,0.0,930,537,221,147,25,False,0,0,0,,S5-SWEEP-MSS-FVG,,,"{'losses': 10, 'wins': 3, 'systematic': [], 'frequent': [], 'mae_mfe': {'winners_mae_median': -0.43, 'winners_mae_p90': -0.7, 'losers_mfe_median': 0.55, 'losers_mfe_p75': 0.91}, 'gross_avg_r': -0.238, 'avg_r': -0.353, 'strategy_level': [], 'diagnosis': ['Sample too small: only 13 trades - no conclusion yet.', 'Timing / exits: half the losers were at least +0.55R in profit first - exits or targets are worth testing.', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → -0.11R; stop max_width_atr 3.0→2.4 → -0.15R; stop buffer_atr 0.2→0.24 → -0.36R; stop max_width_atr 3.0→3.6 → -0.28R.', 'Costs: -0.24R per trade before fees and slippage, -0.35R after.', 'Systematic causes: none stands out - with this sample the losses look random.']}",only 13 trades; avg -0.35R/trade (needs +0.10R); profit factor 0.44; only 5 unseen-test trades; not profitable in BOTH train and unseen test,,
S5-SWEEP-MSS-FVG-noSMC,1.0,smc,trend,15m,BACKTESTING,False,2026-09-24 20:19,True,2025-12-06,14,42.9,-0.365,0.42,6.5,-0.435,0.049,-0.312,-0.387,0/5,False,-0.297,False,time_stop_bars 30→24: -0.42R,0,0.157,,0.1,,1,1.207,1.207,0.0,819,463,230,98,25,False,0,0,0,,S5-SWEEP-MSS-FVG,,,"{'losses': 8, 'wins': 6, 'systematic': [], 'frequent': [('stop_too_wide', 0.75), ('overextended_entry', 0.5), ('volatility_spike', 0.375), ('range_market', 0.25)], 'mae_mfe': {'winners_mae_median': -0.44, 'winners_mae_p90': -0.58, 'losers_mfe_median': 0.33, 'losers_mfe_p75': 0.53}, 'gross_avg_r': -0.124, 'avg_r': -0.365, 'strategy_level': [], 'diagnosis': ['Sample too small: only 14 trades - no conclusion yet.', 'Timing: losers rarely went our way (median best point +0.33R).', 'Stop / target: stopped out and then TP1 reached anyway in 0% of losses; target nearly reached (≥ 80%) in 0%. Measured stop changes (±20% test): stop buffer_atr 0.2→0.16 → -0.32R; stop max_width_atr 3.0→2.4 → -0.10R; stop buffer_atr 0.2→0.24 → -0.27R; stop max_width_atr 3.0→3.6 → -0.36R.', 'Costs: -0.12R per trade before fees and slippage, -0.36R after.', 'Systematic causes: none stands out - with this sample the losses look random.']}",only 14 trades; avg -0.37R/trade (needs +0.10R); profit factor 0.42; only 2 unseen-test trades; not profitable in BOTH train and unseen test,,
